OrgID,Charity Name,Address ,City,State,Zip,Website URL,Cause,Total Expenses,Total Net Assets
13973,The Next Door,"402 22nd Avenue, N. ",Nashville,TN,37203,http://www.thenextdoor.org/,Social Services,"$9,543,375 ","$4,160,220 "
8319,The Night Ministry,"1735 North Ashland Avenue, Suite 2000 ",Chicago,IL,60622,http://www.thenightministry.org,Homeless Services,"$7,932,964 ","$5,195,442 "
9756,The NOAH Center,31300 Brandstrom Road ,Stanwood,WA,98292,http://www.thenoahcenter.org/,"Animal Rights, Welfare, and Services","$1,931,558 ","$11,074,897 "
15488,The NOCCA Institute,2800 Chartres Street ,New Orleans,LA,70117,http://noccainstitute.com/,Performing Arts,"$2,247,249 ","$18,696,946 "
13748,The North American Menopause Society,30100 Chagrin Boulevard Suite 210,Pepper Pike,OH,44124,http://www.menopause.org/,Advocacy and Education,"$2,473,324 ","$5,685,146 "
16369,The Notah Begay III Foundation,290 Prairie Star Road ,Santa Ana Pueblo,NM,87004,http://www.nb3foundation.org/,"Diseases, Disorders, and Disciplines","$2,712,978 ","$1,447,848 "
10344,The Oasis Institute,11780 Borman Drive Suite 400,St. Louis,MO,63146,http://www.oasisnet.org,Social Services,"$3,743,719 ","$2,185,418 "
12350,The Ocean Foundation,"1320 19th Street, NW 5th Floor",Washington,DC,20036,http://www.oceanfdn.org,Environmental Protection and Conservation,"$8,202,116 ","$5,107,283 "
4259,The Oklahoma City Museum of Art,415 Couch Drive ,Oklahoma City,OK,73102,http://www.okcmoa.com/,Museums,"$6,740,794 ","$39,513,848 "
6195,The Omaha Home for Boys,4343 North 52nd Street ,Omaha,NE,68104,http://www.omahahomeforboys.org/,"Youth Development, Shelter, and Crisis Services","$9,618,688 ","$82,360,518 "
15434,The Opportunity Network,85 Broad Street 6th Floor,New York,NY,10004,http://opportunitynetwork.org/,Youth Education Programs and Services,"$5,336,264 ","$3,417,764 "
4276,The Oregon Community Foundation,1221 Southwest Yamhill Street Suite 100,Portland,OR,97205,http://www.oregoncf.org/,Community Foundations,"$125,941,493 ","$1,814,049,613 "
13270,The Orion Society,187 Main Street ,Great Barrington,MA,1230,http://www.orionsociety.org,Public Broadcasting and Media,"$858,119 ","$18,099 "
4287,The Outreach Foundation ,381 Riverside Drive Suite 110,Franklin,TN,37064,http://www.theoutreachfoundation.org/,Religious Activities,"$7,016,894 ","$7,025,165 "
13126,The Outreach Program,301 Center Street ,Union,IA,50258,http://www.outreachprogram.org/,Humanitarian Relief Supplies,"$4,969,403 ","$2,705,085 "
7458,The Pachamama Alliance,Presidio Bldg #1009 P.O. Box 29191,San Francisco,CA,94129,http://www.pachamama.org/,Environmental Protection and Conservation,"$4,999,681 ","$959,270 "
