OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Expenses,Total Net Assets
16577,Upwardly Global,582 Market Street Suite 1207,San Francisco,CA,94104,https://www.upwardlyglobal.org/,Human Services,Social Services,4938871,3235413
3777,Urban Affairs Coalition,1207 Chestnut Street 7th Floor,Philadelphia,PA,19107,http://www.uac.org,Community Development,Housing and Neighborhood Development,41904873,743845
10822,Urban Alliance,"2030 Q Street, NW ",Washington,DC,20009,http://www.theurbanalliance.org/,Human Services,Social Services,9020219,8854242
16335,Urban Assembly,90 Broad Street Sutie 2101,New York,NY,10004,http://urbanassembly.org/,Education,Youth Education Programs and Services,5087805,1655098
8153,Urban Gateways,1637 N Ashland Ave Ste 1 ,Chicago,IL,60622,http://www.urbangateways.org,Education,Youth Education Programs and Services,2672389,810838
13708,Urban Homeworks,2015 Emerson Avenue North ,Minneapolis,MN,55411,https://urbanhomeworks.org/,Community Development,Housing and Neighborhood Development,5640144,5019344
13555,Urban Impact,801 Union Ave 4th Floor,Pittsburgh,PA,15212,http://www.uifpgh.org,Human Services,"Youth Development, Shelter, and Crisis Services",4311238,1343499
15243,Urban League of Eastern Massachusetts,88 Warren Street ,Roxbury,MA,2119,http://ulem.org/,Human Services,Social Services,1198077,1299983
14258,Urban League of Greater Cleveland,2930 Prospect Avenue ,Cleveland,OH,44115,http://ulcleveland.com/,Human and Civil Rights,Advocacy and Education,1439766,69198
18502,Urban League of Greater Hartford,140 Woodland Street ,Hartford,CT,6105,http://www.ulgh.org/Home.aspx,Human and Civil Rights,Advocacy and Education,2040517,2387894
18047,Urban League of Greater Madison,2222 S. Park Street Suite 200,Madison,WI,53713,https://ulgm.org/,Human and Civil Rights,Advocacy and Education,2356087,2632509
14721,Urban League of Greater Oklahoma City,3900 North Martin Luther King Avenue ,Oklahoma City,OK,73111,http://urbanleagueok.org/,Human and Civil Rights,Advocacy and Education,1469295,1087305
18043,Urban League of Nebraska,3040 Lake Street Suite 200,Omaha,NE,68111,http://www.urbanleagueneb.org/,Human and Civil Rights,Advocacy and Education,2630130,2128437
15278,Urban Libraries Council,1333 H Street NW Suite 1000 West,Washington,DC,20005,http://www.urbanlibraries.org/,"Arts, Culture, Humanities","Libraries, Historical Societies and Landmark Preservation",3213069,2648249
13237,Urban Ministries of Durham,410 Liberty Street P.O. Box 249,Durham,NC,27701,http://www.umdurham.org,Human Services,Rescue Missions,3237421,2740024
10083,Urban Ministry Center,945 North College Street ,Charlotte,NC,28206,http://www.urbanministrycenter.org/,Human Services,Homeless Services,6583705,17349090
10055,Urban Ventures Leadership Foundation,2924 Fourth Avenue South ,Minneapolis,MN,55408,http://www.urbanventures.org/,Community Development,Housing and Neighborhood Development,4831111,15579912
13926,Urban Youth Impact,2823 North Australian Avenue ,West Palm Beach,FL,33407,http://www.urbanyouthimpact.com/,Religion,Religious Activities,2416801,6676431
14081,Urban Youth Workers Institute,2321 East 4th Street Suite C607,Santa Ana,CA,92705,https://uywi.online/,Religion,Religious Activities,1560769,946887
15447,UrbanGlass,647 Fulton Street ,Brooklyn,NY,11217,http://www.urbanglass.org/,"Arts, Culture, Humanities",Performing Arts,2442729,1186682
5076,UrbanPromise,27 N. 36th Street ,Camden,NJ,8105,http://www.urbanpromiseusa.org,Education,Youth Education Programs and Services,4661818,3688708
12449,Urgent Action Fund for Women's Human Rights ,660 13th Street Suite 200,Oakland,CA,94612,https://urgentactionfund.org/,International,"International Peace, Security, and Affairs",4360597,3948819
10755,US Bobsled and Skeleton Federation,"1631 Mesa Avenue Copper Building, Suite A",Colorado Springs,CO,80906,http://www.teamusa.org/USA-Bobsled-Skeleton-Federation,Human Services,Multipurpose Human Service Organizations,3454039,3739553
8408,Us TOO International,2720 South River Road Suite 112,Des Plaines,IL,60018,http://www.ustoo.org,Health,"Diseases, Disorders, and Disciplines",829057,1082967
13104,"USA Cares, Inc.",11760 Commonwealth Drive ,Louisville,KY,40299,http://www.usacares.org,Human Services,Social Services,2393592,756737
8166,USA for UNHCR,"1310 L Street, NW Suite 450",Washington,DC,20005,http://www.unrefugees.org,International,"International Peace, Security, and Affairs",62733203,16654024
8422,USA Shooting,One Olympic Plaza ,Colorado Springs,CO,80909,http://www.usashooting.org/,Human Services,Multipurpose Human Service Organizations,7037273,4146091
5497,US-Ireland Alliance,3110 Tenth Street North 319,Arlington,VA,22201,http://www.us-irelandalliance.org/,International,"International Peace, Security, and Affairs",1043267,8552154
9350,USMMA Alumni Association and Foundation,300 Steamboat Road ,Kings Point,NY,11024,http://www.usmmaaf.com,Education,Scholarship and Financial Support,5386430,39166151
13122,USO,2111 Wilson Boulevard Suite 1200,Arlington,VA,22201,http://www.uso.org/,Human Services,Social Services,130008219,181847750
14177,USO Metropolitan Washington-Baltimore,228 McNair Road Building #405,Fort Myer,VA,22211,https://metro.uso.org/,Human Services,Social Services,7095762,4822096
14533,USO of Hampton Roads and Central Virginia,3 Ruckman Road ,Fort Monroe,VA,23651,http://usohrcv.com/,Human Services,Social Services,2580001,1060172
16036,USO of Metropolitan New York,625 Eighth Avenue Suite 209,New York,NY,10018,https://metrony.uso.org/,Human Services,Social Services,8689476,8755580
12320,USO of Missouri,10701 Lambert International Boulevard PO Box 10367,St. Louis,MO,63145,http://www.usomissouri.org/,Human Services,Social Services,2554113,4795179
14326,USO of North Carolina,600 Airport Boulevard Suite 200,Morrisville,NC,27560,http://uso-nc.org/,Human Services,Social Services,5118944,1636726
10242,USS Constitution Museum,Charlestown Navy Yard Building 22,Charlestown,MA,2129,http://usscm.org,"Arts, Culture, Humanities",Museums,2831150,9686085
13309,USTA Foundation,70 West Red Oak Lane ,White Plains,NY,10604,http://www.ustafoundation.com/,Human Services,Multipurpose Human Service Organizations,7554015,8300010
9747,Utah Festival Opera & Musical Theatre,59 South 100 West ,Logan,UT,84321,http://www.utahfestival.org/index.php,"Arts, Culture, Humanities",Performing Arts,3772032,8707575
8718,Utah Food Bank,3150 South 900 West ,Salt Lake City,UT,84119,https://www.utahfoodbank.org/,Human Services,"Food Banks, Food Pantries, and Food Distribution",82030870,19634511
9745,Utah Museum of Contemporary Art,20 South West Temple ,Salt Lake City,UT,84101,http://www.utahmoca.org/,"Arts, Culture, Humanities",Museums,872868,225431
13660,Utah Sports Commission,201 South Main Street Suite 2125,Salt Lake City,UT,84111,http://www.utahsportscommission.com/,Human Services,Multipurpose Human Service Organizations,2368453,7448329
7063,Utah Symphony & Opera,123 West South Temple ,Salt Lake City,UT,84101,http://www.usuo.org/,"Arts, Culture, Humanities",Performing Arts,23328532,40759998
13470,Vaad Harabbanim L'Inyanei Tzeduka,221 Regent Drive ,Lakewood,NJ,8701,https://www.vaadharabbanim.com/,Religion,Religious Activities,7496576,964683
