OrgID,charity_name,cause,category,address,City,state,zip,web_url,total_expenses,total_net_assets,class
11022,Restoration Ministries,Rescue Missions,Human Services,253 East 159th Street ,Harvey,IL,60426,http://restorationministries.net,"$2,483,098","$5,524,553",0
8495,Restore Hope Ministries,Rescue Missions,Human Services,2960 Charles Page Boulevard ,Tulsa,OK,74127,http://www.restorehope.org/,"$1,257,871","$1,377,435",0
8305,RESULTS Educational Fund,Social and Public Policy Research,Research and Public Policy,"1101 15th St., NW Suite 1200",Washington,DC,20005,http://www.results.org,"$11,312,422","$12,394,164",0
9068,Retina Foundation of the Southwest,Medical Research,Health,9600 North Central Expressway Suite 200,Dallas,TX,75231,http://www.retinafoundation.org/,"$4,262,372","$18,002,576",0
13398,Rett Syndrome Research Trust,Medical Research,Health,67 Under Cliff Road ,Trumbull,CT,6611,http://reverserett.org/,"$11,377,192","$-4,372,270",0
8756,Return to Freedom,Wildlife Conservation,Animals,P.O. Box 926 ,Lompoc,CA,93438,http://www.returntofreedom.org,"$1,877,238","$863,444",0
8676,Reynolda House Museum of American Art,Museums,"Arts, Culture, Humanities",2250 Reynolda Road ,Winston-Salem,NC,27106,http://www.reynoldahouse.org,"$5,611,494","$43,139,492",0
6291,Rheumatology Research Foundation,Medical Research,Health,"2200 Lake Boulevard, NE ",Atlanta,GA,30319,http://www.rheumresearch.org,"$13,523,272","$70,830,446",0
4894,Rhode Island Community Food Bank,"Food Banks, Food Pantries, and Food Distribution",Human Services,200 Niantic Avenue ,Providence,RI,2907,http://rifoodbank.org/,"$20,021,728","$14,071,533",1
15229,Rhode Island Historical Society,"Libraries, Historical Societies and Landmark Preservation","Arts, Culture, Humanities",110 Benevolent Street ,Providence,RI,2906,http://www.rihs.org/,"$2,295,052","$25,830,570",0
14317,Rhode Island Philharmonic Orchestra & Music School,Performing Arts,"Arts, Culture, Humanities",667 Waterman Avenue ,East Providence,RI,2914,http://www.ri-philharmonic.org/,"$5,578,397","$10,182,701",0
15230,Rhode Island Public Radio,Public Broadcasting and Media,"Arts, Culture, Humanities",One Union Station ,Providence,RI,2903,http://ripr.org/,"$3,897,753","$3,182,447",0
4896,Rhode Island Zoological Society,Zoos and Aquariums,Animals,1000 Elmwood Avenue ,Providence,RI,2907,https://www.rwpzoo.org/about/rhode-island-zoological-society,"$9,538,813","$2,408,671",0
15583,Rian Immigrant Center,Social Services,Human Services,"One State Street, Suite 800 ",Boston,MA,2109,http://www.riancenter.org/,"$2,126,782","$1,781,109",1
18636,Richland County Foundation,Community Foundations,Community Development,181 South Main Street ,Mansfield,OH,44902,https://www.richlandcountyfoundation.org/,"$9,336,382","$146,998,278",3
5498,"Richmond Ballet, The State Ballet of Virginia",Performing Arts,"Arts, Culture, Humanities",407 East Canal Street ,Richmond,VA,23219,http://www.richmondballet.com,"$6,492,360","$10,079,636",0
15814,Richmond Friends of the Homeless,Homeless Services,Human Services,4600 Jaydee Drive ,Moseley,VA,23120,http://richmondfriendsofthehomeless.org,"$1,793,043","$110,326",1
7159,Richmond Hill,Religious Activities,Religion,2209 East Grace Street ,Richmond,VA,23223,http://www.richmondhillva.org/,"$971,236","$5,134,101",2
9875,Richmond Performing Arts Alliance,Performing Arts,"Arts, Culture, Humanities",600 East Grace Street Suite 400,Richmond,VA,23219,http://rpaalliance.com/,"$1,721,804","$106,310,278",0
5485,Richmond SPCA,"Animal Rights, Welfare, and Services",Animals,2519 Hermitage Road ,Richmond,VA,23220,http://www.richmondspca.org,"$8,031,161","$37,956,897",1
14023,Ridgefield Library Association,"Libraries, Historical Societies and Landmark Preservation","Arts, Culture, Humanities",472 Main Street ,Ridgefield,CT,6877,http://www.ridgefieldlibrary.org/,"$3,544,500","$22,618,987",0
10088,Right From The Heart Ministries,Religious Media and Broadcasting,Religion,1507 Johnson Ferry Road Suite 100,Marietta,GA,30062,http://rightfromtheheart.org/,"$1,482,521","$135,126",1
