OrgID,Charity Name,Address ,City,State,Zip,Website URL,Category,Cause,Total Revenue,Total Expenses,Fundraising Expenses,CEO Salary,Total Net Assets
18692,Ronald McDonald House Eastern North Carolina,529 Moye Boulevard ,Greenville,NC,27834,https://rmhenc.org/,Health,Patient and Family Support,"$2,169,074","$758,562","$81,446","$69,350","$8,703,102"
7882,Ronald McDonald House Houston,1907 Holcombe Boulevard ,Houston,TX,77030,http://www.rmhhouston.org,Health,Patient and Family Support,"$9,193,222","$5,367,244","$823,723","$217,041","$30,400,848"
4970,Ronald McDonald House New York,405 East 73rd Street ,New York,NY,10021,https://www.rmh-newyork.org/,Health,Patient and Family Support,"$14,929,870","$16,433,545","$3,874,620","$467,926","$111,371,849"
13616,Ronald McDonald House of Chapel Hill,101 Old Mason Farm Road ,Chapel Hill,NC,27517,http://www.rmh-chapelhill.org,Health,Patient and Family Support,"$2,028,018","$1,963,151","$145,481","$118,939","$12,748,402"
13607,Ronald McDonald House of Charlotte,1613 East Morehead Street ,Charlotte,NC,28207,http://www.rmhofcharlotte.org,Health,Patient and Family Support,"$1,584,275","$1,566,784","$201,527","$146,059","$12,501,960"
10535,Ronald McDonald House of Dallas,4707 Bengal Street ,Dallas,TX,75235,http://www.rmhdallas.org/,Health,Patient and Family Support,"$2,931,376","$2,230,265","$387,563","$148,259","$8,970,176"
13533,Ronald McDonald House of Delaware,1901 Rockland Road ,Wilmington,DE,19803,http://www.rmhde.org/,Health,Patient and Family Support,"$2,900,032","$2,588,922","$404,447","$147,828","$11,971,816"
11558,Ronald McDonald House of Durham & Wake,506 Alexander Avenue ,Durham,NC,27705,https://www.rmhdurhamwake.org/,Health,Patient and Family Support,"$2,589,631","$3,150,229","$647,512","$147,187","$10,173,452"
10356,Ronald McDonald House of Fort Worth,1001 Eighth Avenue ,Fort Worth,TX,76104,http://www.rmhfw.org/,Health,Patient and Family Support,"$2,838,709","$2,629,588","$464,313","$143,867","$14,237,282"
14843,"Ronald McDonald House of Rochester, Minnesota",850 Second Street SW ,Rochester,MN,55902,http://rmhmn.org/,Health,Patient and Family Support,"$6,522,553","$1,910,004","$264,199","$119,592","$24,390,039"
14583,Ronald McDonald House of Southern New Jersey,550 Mickle Road ,Camden,NJ,8103,http://www.ronaldhouse-snj.org/,Health,Patient and Family Support,"$2,722,596","$1,837,023","$329,374","$149,370","$14,346,964"
12029,Ronald McDonald House of Winston-Salem,419 South Hawthorne Road ,Winston-Salem,NC,27103,http://www.rmhws.org,Health,Patient and Family Support,"$1,606,346","$1,658,277","$274,050","$99,457","$12,905,760"
8929,Room to Grow,"7 West 30th Street, Floor 3 ",New York,NY,10001,https://roomtogrow.org/,Human Services,Children's and Family Services,"$5,529,586","$3,708,482","$562,207","$197,400","$8,703,782"
10217,Room to Read,465 California Street Suite 1000,San Francisco,CA,94104,http://roomtoread.org,International,Development and Relief Services,"$59,837,695","$53,133,393","$5,091,406","$257,627","$29,942,569"
10707,Root Capital,130 Bishop Allen Drive 2nd Floor,Cambridge,MA,2139,http://www.rootcapital.org/,International,Development and Relief Services,"$22,275,720","$23,083,477","$922,406","$273,194","$15,718,807"
7073,Rose Brooks Center,P.O. Box 320599 ,Kansas City,MO,64132,http://www.rosebrooks.org,Human Services,Social Services,"$8,093,671","$7,245,536","$816,296","$181,029","$15,792,998"
5832,Rose Foundation for Communities and the Environment,201 4th Street Suite 102,Oakland,CA,94607,https://rosefdn.org/,Environment,Environmental Protection and Conservation,"$4,652,603","$6,353,187","$276,087","$120,000","$5,580,069"
7818,Roseland Christian Ministries,10858 South Michigan Avenue ,Chicago,IL,60628,http://www.roselandchristianministries.org,Religion,Religious Activities,"$1,124,923","$1,031,981","$151,303",,"$1,151,996"
10193,Rosenberg Fund for Children,116 Pleasant Street Suite 348,Easthampton,MA,1027,http://www.rfc.org/,Education,Scholarship and Financial Support,"$884,184","$682,814","$48,663","$65,462","$5,229,062"
7691,Rosie's Place,889 Harrison Avenue ,Boston,MA,2118,http://www.rosies.org/,Human Services,Homeless Services,"$12,455,203","$10,154,255","$1,418,670","$133,728","$26,921,398"
5043,Roswell Park Alliance Foundation,Elm and Carlton Streets ,Buffalo,NY,14263,https://www.roswellpark.org/,Health,Medical Research,"$26,518,336","$22,894,113","$3,498,196","$185,473","$88,474,951"
10632,Rotaplast International,3317 26th Street ,San Francisco,CA,94110,http://www.rotaplast.org,International,Development and Relief Services,"$1,315,509","$1,398,345","$86,145","$169,950","$2,331,646"
15748,Roulette Intermedium,509 Atlantic Avenue ,Brooklyn,NY,11217,http://roulette.org/,"Arts, Culture, Humanities",Performing Arts,"$2,325,678","$1,986,902","$154,748","$113,791","$1,159,663"
4412,Roundabout Theatre Company,231 West 39th Street Suite 1200,New York,NY,10018,http://www.roundabouttheatre.org,"Arts, Culture, Humanities",Performing Arts,"$46,081,371","$47,547,469","$3,663,837","$867,808","$120,845,867"
14658,Roundup River Ranch,8333 Colorado River Road ,Gypsum,CO,81637,http://www.roundupriverranch.org/,Health,Patient and Family Support,"$4,722,100","$4,580,270","$795,657","$164,176","$20,121,182"
